action,actual_profit,ask,bid,date,deal,entry_time,fast_period,order,price,profit,sl,slow_period,symbol,time,tp,trend,trend_time,type,volume,closed,win
DEAL,-11.28,551968.06,551913.72,24/09/2022 01:26,2606750748,M5,8,2630828791,551968.06,991.38,502312.1,34,Volatility 50 (1s) Index,1663982794.5101564,651106.55,4,M30,BUY,0.01,True,False
DEAL,1.25,215.5118,215.4833,24/09/2022 01:26,2606750755,M5,8,2630828798,215.5118,992.1,50.16676666666666,34,Volatility 50 Index,1663982794.5151584,546.2102666666667,4,M30,BUY,3.0,True,False
DEAL,-28.08,26621.69,26615.5,24/09/2022 01:31,2606754999,M5,8,2630833092,26621.69,991.66,24142.532499999998,34,Volatility 100 Index,1663983107.815733,31580.004999999997,4,M30,BUY,0.2,True,False
DEAL,0.37,1739.097,1738.98,24/09/2022 01:31,2606755011,M5,8,2630833104,1739.097,991.66,747.434,34,Volatility 25 Index,1663983107.8167326,3722.423,4,M30,BUY,0.5,True,False
DEAL,1.52,215.3808,215.3523,24/09/2022 01:31,2606755008,M5,8,2630833101,215.3808,991.66,50.103633333333335,34,Volatility 50 Index,1663983107.8177311,545.9351333333333,4,M30,BUY,3.0,True,False
DEAL,-7.01,551538.73,551484.39,24/09/2022 01:31,2606755002,M5,8,2630833095,551538.73,991.39,501927.7899999999,34,Volatility 50 (1s) Index,1663983107.8177311,650677.24,4,M30,BUY,0.01,True,False
DEAL,1.44,6546.443,6546.281,24/09/2022 01:31,2606755010,M5,8,2630833103,6546.443,991.66,4893.671333333334,34,Volatility 10 Index,1663983107.8177311,9851.986333333334,4,M30,BUY,0.3,True,False
DEAL,-2.18,354381.05,354355.74,24/09/2022 01:31,2606755017,M5,8,2630833110,354381.05,991.55,304786.99,34,Volatility 25 (1s) Index,1663983108.0112872,453536.44,4,M30,BUY,0.01,True,False
DEAL,0.71,8623.24,8623.2,24/09/2022 01:31,2606755025,M5,8,2630833118,8623.24,991.66,6144.0825,34,Volatility 10 (1s) Index,1663983108.014286,13581.555,4,M30,BUY,0.2,True,False
DEAL,-1.02,550726.14,550671.8,24/09/2022 01:35,2606757821,M5,8,2630835914,550726.14,982.56,501598.29000000004,34,Volatility 50 (1s) Index,1663983335.5876784,648981.84,4,M30,BUY,0.01,True,False
DEAL,1.7,215.2895,215.261,24/09/2022 01:35,2606757851,M5,8,2630835944,215.2895,982.57,51.533199999999994,34,Volatility 50 Index,1663983335.8451014,542.8117,4,M30,BUY,3.0,True,False
DEAL,-13.23,26440.02,26433.83,24/09/2022 01:35,2606757847,M5,8,2630835940,26440.02,982.56,23983.627500000002,34,Volatility 100 Index,1663983335.847099,31352.805,4,M30,BUY,0.2,True,False
DEAL,-0.2,1740.271,1740.154,24/09/2022 01:35,2606757831,M5,8,2630835924,1740.271,982.56,757.7139999999999,34,Volatility 25 Index,1663983335.8530958,3705.385,4,M30,BUY,0.5,True,False
DEAL,0.91,8622.24,8622.2,24/09/2022 01:35,2606757829,M5,8,2630835922,8622.24,982.51,6165.6075,34,Volatility 10 (1s) Index,1663983335.8560948,13534.785,4,M30,BUY,0.2,True,False
