Action,Type,Expected Profit,Symbol,Fast Period,Slow Period,Trend Time,Entry Time,Trend,Timestamp,Volume,Order,Deal,Price,Date
DEAL,BUY,32.0,Volatility 50 (1s) Index,8,34,H1,M5,3,1659904841.805131,0.02,1656473719,1584322830,564423.25,07/08/2022 21:40
DEAL,BUY,32.0,Volatility 25 (1s) Index,8,34,H1,M5,3,1659904841.812127,0.02,1656473728,1584322839,440529.2,07/08/2022 21:40
DEAL,BUY,32.0,Volatility 75 (1s) Index,8,34,H1,M5,3,1659904841.833113,0.02,1656473735,1584322846,5409.03,07/08/2022 21:40
DEAL,BUY,32.0,Volatility 75 Index,8,34,H1,M5,3,1659904843.077874,0.02,1656473743,1584322854,826816.6,07/08/2022 21:40
